dataset,epoch,train_loss,train_mae,validation_loss,validation_mae,improved,early_stop_counter,epoch_seconds
SWAT,1,0.006581276079311464,0.028672344094500764,0.0011036139648303385,0.013884706732105751,True,0,144.38036036491394
SWAT,2,0.0009007557396259772,0.011814976914759839,0.0007781177872837001,0.01051067565431207,True,0,193.20119166374207
SWAT,3,0.0007039036950844848,0.009956870913567164,0.0006224647161898705,0.009301998169758689,True,0,192.55816316604614
SWAT,4,0.0005573637658390282,0.00887663834355225,0.000513320775760172,0.00841565144203553,True,0,193.02948474884033
SWAT,5,0.00047596967467174124,0.00790502967204954,0.0004520142589959259,0.007786938256207509,True,0,192.69520449638367
SWAT,6,0.00043316438744002656,0.007377492714675591,0.000421944263984061,0.007264973433142945,True,0,194.03537559509277
SWAT,7,0.0004059835533149209,0.006915403323653554,0.0003915330701187424,0.00649997895112701,True,0,192.61296129226685
SWAT,8,0.0003914738724476472,0.006646859217058051,0.0003859060892878041,0.006574619223715762,True,0,192.25845313072205
SWAT,9,0.00038393081848892675,0.006523767601014351,0.0003818971522020645,0.006421130388254195,True,0,192.31322598457336
SWAT,10,0.0003785863030079239,0.006423238073651672,0.00037969947504965765,0.006456372296055507,True,0,193.58564043045044
SWAT,11,0.0003758577489194634,0.0063973120848097,0.00037799174362602154,0.006688777584299736,True,0,192.14495754241943
SWAT,12,0.0003729867331984144,0.006355483551380705,0.00036912252254351247,0.006310103566348471,True,0,196.84016275405884
SWAT,13,0.00037192463030094315,0.006341941866391549,0.00037213983821693413,0.006490989499668716,False,1,215.19153475761414
SWAT,14,0.00037073902045010876,0.006325418919316603,0.00036453852018713016,0.006177535047285488,True,0,215.2307481765747
SWAT,15,0.0003702197252501803,0.006314020738770415,0.00036025574236886194,0.006037728664114386,True,0,215.07273244857788
SWAT,16,0.0003702079878452478,0.006325637066124897,0.00036931064439230387,0.006176331160382374,False,1,215.0740339756012
SWAT,17,0.00036865480752991734,0.006297473257560643,0.00036660995105269997,0.0061943286122311605,False,2,214.77805829048157
SWAT,18,0.0003680090215767449,0.006303619925765926,0.00037181175754947345,0.006502557877216344,False,3,214.54222059249878
SWAT,19,0.0003656882856906743,0.006359739616318916,0.00036390576724348,0.006386437962646858,False,4,214.80094051361084
SWAT,20,0.00036223315134078994,0.00636684121112298,0.0003620161842994599,0.006173454367811487,False,5,214.627779006958
SWAT,21,0.0003600536611947392,0.006345167294340444,0.0003494853124762625,0.005970256364045246,True,0,214.42341542243958
SWAT,22,0.000359668606263507,0.006350066390714964,0.00035153091970349025,0.006036657745297357,False,1,214.43952655792236
SWAT,23,0.00035750057044630837,0.006325016831717368,0.00035541943820975244,0.006187918861999734,False,2,214.335364818573
SWAT,24,0.00035651126117383153,0.006312508344601148,0.00034744552617249115,0.006268186889545835,True,0,214.2595932483673
SWAT,25,0.00035505161402826134,0.006292242365498786,0.00034818306241137024,0.006041715307994994,False,1,214.2322437763214
SWAT,26,0.00035380961835767655,0.00628297440294692,0.0003509256288133182,0.006342686002688834,False,2,215.8256471157074
SWAT,27,0.00035289835027492943,0.006294696550126049,0.00034421914335555024,0.005858754627903586,True,0,214.5402455329895
SWAT,28,0.00035186101942338686,0.006291045174953515,0.0003447890274265771,0.005959567996205347,False,1,214.48459911346436
SWAT,29,0.0003509380169386416,0.006265858966486409,0.00035199311406771734,0.006379265579400022,False,2,214.0528905391693
SWAT,30,0.00035056339999205887,0.006278882325051172,0.0003551213816936163,0.00645814740067795,False,3,214.44854474067688
SWAT,31,0.00035026808648253125,0.006282610138808197,0.0003412485380089843,0.005973822733588423,True,0,213.94658255577087
SWAT,32,0.00034864485423805833,0.0062515204400486165,0.0003422474949174662,0.006178085006534821,False,1,213.95771956443787
SWAT,33,0.0003479101994086453,0.0062385624619614895,0.00034919067697614423,0.006316404911685677,False,2,213.98752307891846
SWAT,34,0.0003470355722734755,0.006218995428526924,0.00033880273269842556,0.005872744946914443,True,0,213.98597240447998
SWAT,35,0.00034667933066188125,0.006219681959584029,0.00035797826974154,0.00640692996096433,False,1,213.90508317947388
SWAT,36,0.0003461241568523375,0.006205082042572526,0.0003457574279152682,0.005971725028292544,False,2,214.67386937141418
SWAT,37,0.00034574472912738926,0.006205212803393514,0.0003408909673779946,0.005992471851458664,False,3,213.85095810890198
SWAT,38,0.0003454403060824201,0.006198805328902626,0.00033617858980474207,0.005862674955031551,True,0,213.98062896728516
SWAT,39,0.0003453983758412377,0.006192114309887052,0.00034745610763795855,0.00617240406000161,False,1,213.66884970664978
SWAT,40,0.00034453548199728245,0.00617439254591183,0.00034968566345725476,0.006246997681170602,False,2,214.13240480422974
SWAT,41,0.00034481233245317583,0.006184057495962478,0.00033492805882064173,0.005891841995100767,True,0,221.6457874774933
SWAT,42,0.000343717322592185,0.006150192286329377,0.00033439765081409565,0.005791629745672701,True,0,245.06350660324097
SWAT,43,0.00034343744932281305,0.006150653590041688,0.0003519711361397268,0.006376128581988502,False,1,257.24835562705994
SWAT,44,0.0003433056672338973,0.006136710498322083,0.0003566953653246982,0.006537322326021516,False,2,256.7726364135742
SWAT,45,0.0003429185367922312,0.006131961277491461,0.0003410075155971412,0.006158276068132208,False,3,256.7196433544159
SWAT,46,0.0003419629962461222,0.006114414740610816,0.0003356856032998088,0.0058464221460820505,False,4,256.6418731212616
SWAT,47,0.00034258458830813696,0.006129352757528035,0.0003441679983564875,0.006434104776703277,False,5,256.76508712768555
SWAT,48,0.00034210587824252085,0.006116905590039283,0.0003413387844272106,0.006164857068273515,False,6,257.58609318733215
SWAT,49,0.0003414741677067501,0.006098525240552422,0.00034085111221633874,0.006053386946855031,False,7,256.79426550865173
SWAT,50,0.000342089261452391,0.006120214403925924,0.0003402764227455484,0.006033748099760919,False,8,256.82542538642883
